order_id,customer,item,qty,price
1001,Iris Serra,Stand,3,38.75
1002,Nora Marsh,Sleeve,1,27.50
1003,Valeria Diaz,Keyboard,4,45.00
1004,Camila Cole,Mouse,5,19.50
1005,Victor Cole,Drive,2,112.60
1006,Jon Pena,Drive,1,112.60

1007,Ulises Salas,Webcam,4,89.00
1008,Camila Ferrer,Adapter,3,19.99
1009,Gabriel Rey,Switch,6,95.00
1010,Victor Ramos,Cable,3,12.25
1011,"Felix Ortiz, Jr.",Mouse,1,19.50
1012,Nora Lin,Mouse,1,19.50
1013,Tania Marsh,Tripod,3,56.30
1014,Walter Bell,Printer,1,198.85
1015,Ivan Pena,Mouse,1,19.50
1016,Nadia Rivas,Tripod,3,56.30
1017,Yara Diaz,Stand,1,38.75
1018,Priya Ibarra,Stand,free,38.75
1019,Wendy Vidal,Webcam,6,89.00
1020,Helena Bell,Mousepad,3,9.75
1021,Mateo Vidal,Printer,5,198.85
1022,Felix Park,Monitor,3,229.50
1023,Oscar Blanco,Tripod,1,56.30
1024,Bruno Santos,Monitor,4,229.50
1025,Wendy Marsh,Speaker,3,78.40
1026,Victor Ortiz,Switch,1,95.00
1027,Nora Munoz,Printer
1028,Rosa Pena,Lamp,3,32.25
1029,Ana Salas,Speaker,3,78.40
1030,Nora Blanco,Lamp,3,32.25
1031,Marcus Ortiz,Mouse,4,19.50
1032,Helena Prieto,Stand,5,38.75
1033,Dario Lin,Hub,4,54.00
1034,Ximena Cole,Stand,3,38.75
1035,Sofia Nunez,Charger,1,41.00
1036,Gabriel Park,Webcam,3,89.00
1037,Esther Park,Speaker,6,78.40
1038,Jon Ruiz,Tripod,2,56.30
1039,Hugo Ibarra,Monitor,1,229.50
1040,Samuel Cano,Printer,4,
1041,Bruno Ruiz,Webcam,4,89.00
1042,Samuel Nunez,Hub,1,54.00
1043,Ulises Prieto,Sleeve,2,27.50
1044,"Marta Vidal, PhD",Lamp,1,32.25
1045,Quinn Serra,Cable,3,12.25
1046,Mateo Santos,Mousepad,3,9.75
1047,Priya Blanco,Mouse,6,19.50
1048,Nora Duran,Adapter,3,19.99
1049,Nora Munoz,Sleeve,2,27.50
1050,Gabriel Ibarra,Printer,2,198.85
1051,Hugo Kaur,Mousepad,2,9.75
1052,Ximena Salas,Adapter,-3,19.99
1053,Ivan Cano,Headset,1,64.25
1054,Walter Park,Switch,2,95.00
1055,Walter Vidal,Tripod,5,56.30
1056,Mateo Vega,Dock,5,120.00
1057,Victor Salas,Drive,3,112.60
1058,Ana Cano,Printer,4,198.85
1059,Ana Rey,Mousepad,4,9.75
1060,Helena Roldan,Lamp,4,32.25
1061,Iris Serra,Hub,6,54.00
1062,Valeria Ramos,Hub,4,54.00
1063,Ulises Moreno,Dock,5,120.00
1064,Tania Park,Cable,6,12.25
1065,Valeria Moreno,Mouse,2,N/A
1066,Paula Lin,Dock,4,120.00
1067,Esther Munoz,Monitor,3,229.50
1068,Oscar Rey,Router,6,149.99
1069,Wendy Santos,Headset,2,64.25
1070,Julia Nunez,Router,3,149.99
1071,Julia Lin,Switch,3,95.00
1072,Ulises Cano,Mousepad,6,9.75

1073,Karim Cano,Mousepad,5,9.75
1074,Tania Rey,Monitor,4,229.50
1075,Nadia Ortiz,Stand,5,38.75
1076,Paula Vidal,Monitor,3,229.50
1077,Luis Cano,Hub,6,54.00
1078,Dario Salas,Monitor,2,229.50
1079,Marcus Nair,Monitor,6,229.50
1080,Ivan Blanco,Headset,4,64.25
1081,Elena Cole,Router,4,149.99
1082,Yara Cole,Adapter,6,19.99
1083,Gabriel Moreno,Monitor,5,229.50
1084,Ulises Rivas,Sleeve,1,27.50
1085,Samuel Vega,Dock,2,120.00
1086,Valeria Prieto,Keyboard,0,45.00
1087,Helena Marsh,Mousepad,6,9.75
1088,Jon Munoz,Stand,2,38.75
1089,"Ruben Salas, Sr.",Stand,5,38.75
1090,Victor Ortiz,Switch,2,95.00
1091,Victor Diaz,Switch,5,95.00
1092,Camila Serra,Mouse,6,19.50
1093,Ivan Munoz,Headset,5,64.25
1094,Teresa Munoz,Monitor,5,229.50
