Line Number,Order ID,Customer,Item,Qty,Price,Reason
8,"not enough values to unpack (expected 5, got 0)"
20,1018,Priya Ibarra,Stand,free,38.75,invalid literal for int() with base 10: 'free'
29,1027,Nora Munoz,Printer,"not enough values to unpack (expected 5, got 3)"
42,1040,Samuel Cano,Printer,4,,could not convert string to float: ''
54,1052,Ximena Salas,Adapter,-3,19.99,Quantity must be greater than zero
67,1065,Valeria Moreno,Mouse,2,N/A,could not convert string to float: 'N/A'
75,"not enough values to unpack (expected 5, got 0)"
89,1086,Valeria Prieto,Keyboard,0,45.00,Quantity must be greater than zero
107,1104,Julia Santos,Lamp,3,32.25,RUSH,"too many values to unpack (expected 5, got 6)"
119,1116,Nadia Rey,Dock,two,120.00,invalid literal for int() with base 10: 'two'
128,1125,Jon Cortes,Router,6,$149.99,could not convert string to float: '$149.99'
140,1137,Karim Blanco,Stand,-6,38.75,Quantity must be greater than zero
149,1146,Gabriel Lin,Lamp,4,,could not convert string to float: ''
156,1153,Luis Ortiz,Printer,2,"not enough values to unpack (expected 5, got 4)"
164,"not enough values to unpack (expected 5, got 0)"
172,1168,Elena Salas,Mousepad,0,9.75,Quantity must be greater than zero
181,1177,Valeria Ramos,Monitor,3,pending,could not convert string to float: 'pending'
197,1193,Hugo Duran,Sleeve,free,27.50,invalid literal for int() with base 10: 'free'
